movie_name,movie_type,movie_content
阿查依蘭的呼喚,紀錄片,"廖莉華（族名日日滿）是排灣族大後部落的女頭目，世襲的頭目制度，讓她在出生那刻起就命定成為部落靈魂人物。從小在平地讀書也不會說母語的她，卻因父親意外過世，繼承頭目的壓力排山倒海而來。廖莉華雖不熟悉自身文化，仍依循排灣族傳統，不得不和過去的自己告別，繼承下頭目的責任。
 
廖莉華也是一位單親媽媽，每日為三餐拼搏，還得用力撐起族人的期望，奔走在族人的各大婚喪節慶裡，咬緊牙關也要展現身為頭目的最大關懷。廖莉華的母親與小孩都希望她放棄這個身份，而她也曾經逃離部落，但在祖靈殷切的呼喚下，她終究回鄉了。繁複的部落傳統無完整文字記載，從沒有人告訴她該怎麼做，廖莉華更沒想過自己要面對的，會是一整個世代的文化失根危機。
 
長期拍攝原住民文化題材的魏郁蓁導演，在來義鄉文樂部落的豐年祭上認識了廖莉華，後來聽說了她的人生故事，並決定用鏡頭紀錄下來。沒想到在拍攝過程衝突事件不斷，不僅廖莉華的繼承身分遭到部分族人質疑，拍攝時還曾遭人報警關切。導演魏郁蓁費時七年，完成台灣首部以女頭目為拍攝對象的紀錄片《阿查依蘭的呼喚》，將漸漸失落的文化，透過影像一點一滴被尋回！"
破碎的琴鍵,劇情,"靈感來自真實事件，戰火之下的希望之聲
金獎製作團隊聯手出擊，最具震撼力的寫實之作
敘利亞戰爭被國際媒體視作近代最嚴重的人禍浩劫，超過一半的敘利亞人被迫離開家鄉，超過五百萬人因此成為國際難民。本片改編自導演吉米•凱羅茲的畢業短片作品《黑色夜曲》，靈感源於真實事件。2014年，伊斯蘭極端組織控制了伊拉克及敘利亞地區，並嚴格以教律壓迫當地居民，除了對違反戒律的人民處以極刑，也禁止一切音樂與娛樂。然而當時有位鋼琴家，在這樣的禁令下，仍鋌而走險，靠著演奏美妙樂章，治癒每天活在死亡恐懼下的鄰居們。聽到這個故事的導演吉米非常感動，於是以此完成了短片《黑色夜曲》。
 
該短片走遍國際各大影展，並榮獲英國奧斯卡學生電影獎最佳短片。此次將其改編成長片，導演除了找來短片男主角塔里克•雅各布再次演出鋼琴家凱林，並以他為核心，加入了更多周遭戰火下其他小人物的故事，刻劃出他們為了捍衛僅有的希望和必須守護的人事物，以各自的方法挺身而出的姿態。導演表示，「我希望透過這部電影向世人揭示，儘管我們的世界不時飽受戰爭、恐怖份子，以及各種人權侵害等惡事催殘，但這些都不能阻止音樂的美好與力量，音樂可以成為對抗一切暴力的武器！」
 
《破碎的琴鍵》是導演吉米的首部劇情長片，片中百分之九十的戲份於黎巴嫩拍攝，敘利亞戰爭下斷垣殘壁的場景，則透過實景搭建結合電腦特效來予以如實呈現。本片由《你只欠我一個道歉》製片安東•瑟赫納維擔任製片。這也是安東繼《你只欠我一個道歉》取得巨大成功，入圍奧斯卡最佳國際影片後，第二度擔任黎巴嫩電影的製片，他的加入可說是讓這個由新導演自編自導的作品如虎添翼。此外，身為一部關於音樂家的電影，音樂部份自然不能馬虎，本片找來曾為經典電影《英倫情人》製作配樂的金獎作曲家蓋布瑞•雅德負責。
 
18歲以前都住在黎巴嫩，至今製作過超過七十部電影配樂，與來自全球名導合作過的蓋布瑞，此次與黎巴嫩新銳導演合作，可說是傾盡全力，為這部以鋼琴家為主角的電影譜出一段段優美、震撼、療癒人心的樂章。本片於2020年正式入選坎城影展放映，並代表黎巴嫩角逐2021年奧斯卡最佳國際影片。"
Fate/Grand Order-終局特異點 冠位時間神殿所羅門,"動畫
戰爭
冒險
奇幻","經歷了七個特異點的戰鬥，人理延續保障機構．迦勒底終於來到聖杯探索的最終地點——終局特異點「冠位時間神殿所羅門」。這回勢必要打倒發生這一切的元兇—魔術王所羅門，奪回人類的未來。一行人在迎戰最終特異點之前，每個人都有各自的安排。
 
羅馬尼．阿基曼思考著自己即將面臨的選擇；瑪修感受到自己來日不多，心裡千頭萬緒。而藤丸為了最終決戰作準備，穿上了全新的禮裝。
 
賭上至今遇到許許多多的人事物，以及眾人的未來，藤丸和瑪修終於要步上最後的戰場……。"
魔法阿媽,"動畫
奇幻
喜劇","★ 4K 高畫質經典修復，再現這塊土地上的每份珍貴情感
★ 台灣首度引進迪士尼動畫製作手法，進軍國際動畫影壇
★ 三金創作人史擷詠老師譜寫配樂，金馬獎最佳女配角文英阿姨配音
★ 麥人杰、郭景洲、王登鈺、陳偉松等國內動畫界大師操刀製作
★ 1998 台北電影節閉幕片、台北電影節年度最佳影片
★ 1998 台北金馬獎最佳動畫片入圍
★ 1998 加拿大溫哥華影展
★ 1999 美國芝加哥兒童國際電影節觀眾票選年度佳片
★ 1999 香港電影節
★ 1999 新加坡影展
★ 1999 美國舊金山國際電影節
★ 1999 美國費城國際電影節
★ 1999 美國西雅圖國際電影節
★ 1999 曼谷國際電影節
★ 1999 日本福岡亞洲電影節
★ 1999 美國紐約國際電影節
 
七月颱，鬼門開。因為在國外工作的爸爸出了車禍，媽媽匆匆忙忙帶著豆豆到基隆阿媽家，和外表看起來可怕的阿媽同住。阿媽再三警告豆豆千萬不可以到後院的儲藏室，但豆豆沒聽阿媽的話，反而還打開了一個貼了封條的罐子，使得阿媽家養的黑貓被罐子裡的惡鬼附身，更糟糕的是，惡鬼開始阻礙阿媽普渡「好兄弟」，要讓這些「好兄弟」留下來幫祂做壞事……"
惡靈古堡首部曲：拉昆市,"動作
懸疑/驚悚","經典同名電玩遊戲《惡靈古堡》電影版將重啟全新篇章，大銀幕再現遊戲恐怖戰慄場面。
 
「拉昆市」是位於美國中西部的一個沒落小鎮，也是神祕跨國組織「保護傘」公司進行秘密生化實驗所在地。保護傘公司的撤離讓這座城鎮變成廢棄之地，地表之下巨大的邪惡力量正在醞釀當中。而當邪惡力量被釋放出來，一群生存者必須共肩作戰，找出藏在保護傘後的真相，並設法活過這個夜晚。"
沒說出口的殺人告白,"犯罪
懸疑/驚悚","電影故事由島本理生的同名小說《初戀》改編而成，此小說榮獲2018年直木賞得獎作。講述臨床心理師真壁由紀應出版社邀請研究女大學生聖山環菜殺父案件中兇手的心理，在和環菜面談中，漸漸了解其殺人動機和「初戀」有關，更和由紀本身過去的記憶連繫，到最終出現令人意外的真相。
 
這是北川景子2003年在《美少女戰士》出道16年來首度剪至短髮，是她自行提出以貼近角色，共剪了30公分。她表示有島本老師出色的原作，還有堤幸彥導演在幕後支持，能主演這樣的作品感到很高興。閱讀原作和劇本時感到心痛，但也讓她覺得這是應該去演的作品，在看完原著時，有內心被洗滌清晰地向前走的感到，她會不忘這點，演出一部讓大家觀看時也有相同想法的電影。"
電影之神,"溫馨/家庭
劇情","集結日本影帝、影后頂尖卡司，一部獻給熱愛電影人們真情力作！
 
日本電影大廠「松竹映畫」，是見證日本電影發展史的重要公司。打從1920年「松竹電影合名社」成立，以及「蒲田製片場」開幕，松竹不斷為日本影史帶來眾多傑作與賣座鉅片，業務包辦電影製作、發行與放映。2020年適逢松竹迎來創立100週年的大日子，於是讓《電影之神》成為慶祝其100週年的紀念之作，同時也是已經執導演筒長達60年的「殿堂級名導」山田洋次的第89部作品。
 
本片改編自獲獎小說家原田舞葉的同名作品，她曾以處女作《等待幸福》榮獲第一屆「日本愛情小說大賞」，之後許多作品也多次入圍直木賞、書店大賞等指標性文學獎項。除了本片之外，她所創作的《等待幸福》、《只要一分鐘》、《心動舞台》也相繼被翻拍成電影。她汲取家人與自身經驗，書寫出《電影之神》這部充滿深切情感的小說。內容描述熱愛電影的人們，一同締造奇蹟的溫暖故事，並透過山田洋次導演的巧手，讓改編電影版透過男主角「鄉」的青春時代，將「過去」與「現在」兩個時代相互串連，成為深信著「電影之神」的男人，與他家人共創的奇蹟故事，也是愛情與友情的故事。值得一提的是，主角的青春時代都在1950年至1960年間的製片廠度過，這也是山田導演在實習時，所經歷日本電影的全盛時代。山田導演也將本片昇華成讓人耳目一新的原創之作，再透過《ALWAYS幸福的三丁目》名導山崎貴監修的特效場面，在虛實交織的幻夢之中，致敬《風雲人物》（It's a Wonderful Life）、《開羅紫玫瑰》（The Purple Rose of Cairo）等影史經典，成功引領觀眾追憶日本電影的黃金歲月。
 
惋惜的是，本片原本找來「喜劇之王」志村健，以及「日本奧斯卡影帝」菅田將暉雙主演，然而在2020年3月1日開拍，等拍攝進行到一半時，志村健卻因為染上新冠肺炎辭世。很快地，日本政府也在之後發佈緊急事態宣言，讓本片拍攝不得不長期中斷，遇到各種製作上的難關。然而，儘管是在不明朗的狀況下，製作團隊仍堅信可以重啟拍攝，不斷積極地進行準備。而在拍攝中斷期間，山田導演也重新修改劇本，甚至將緊急事態宣言發佈之後，日本人民面臨生活上的難關、甚至是台灣人民都還記憶猶新的「鑽石公主號群聚感染事件」給加進劇情當中。此外，製作團隊也找來有「日本大衛鮑伊」之稱的殿堂級歌手澤田研二，代替志村健演出。尤其澤田與志村曾是同門師兄弟，也曾經多次共同演出，擁有深厚的盟友關係，這也讓澤田決心承繼志村的遺志，接演「鄉」這個角色，並表示：「我會緊擁著志村先生的信念，拍到最後！」
 
除了兩位男主角，本片其他卡司也星光熠熠，不僅有「日劇學院賞視后」永野芽郁化身過去時代，在片廠的食堂之女，並將與菅田將暉有感人的愛情戲；「日劇學院賞視后」北川景子也將化身昭和時代的氣質女星，讓人耳目一新。此外，人氣樂團「RADWIMPS」主唱野田洋次郎，則飾演菅田將暉在片廠時期的伙伴，更將攜手菅田演唱感人主題曲〈泡沫之歌〉。不僅如此，本片還集結「柏林影后」寺島忍、「日本奧斯卡影后」宮本信子、「日本奧斯卡最佳男配角」小林稔侍、「日本奧斯卡最佳男配角」Lily Franky，以及新生代男星前田旺志郎、志尊淳等人共同熱演，幕前幕後都是頂尖陣容，讓這部松竹映畫的百年紀念之作當之無愧。這也讓本片引發熱烈討論，先後入選北京電影節、上海電影節、香港夏日電影節，以及台北金馬影展，絕對是影迷們爭相傳誦的必看之作。"
激鬥：首部曲,動作,"★《魷魚遊戲》大熱男星魏嘏雋大展犀利拳腳身手！
★ 改編自Kakao Page讀者訂閱數超過150萬名的人氣網路漫畫《鯊魚》
★《機密同盟》武打團隊打造最俐落刺激的動作場面！
★ 對弱者來說，校園就是地獄！只有變強才能給地獄般的世界痛快一擊！
 
 
因反擊校園霸凌誤傷對方而被判入少年監獄服刑的車宇率（金玟錫 飾），在獄中認識了綜合格鬥冠軍鄭道鉉（魏嘏雋 飾），不想再被欺負的車宇率決定突破自我極限，向鄭道鉉學習格鬥技巧……"
偶然與想像,劇情,"比喜歡還輕盈，比愛還喜歡。
 
《偶然與想像》描述人際間奇妙的緣分，那些命運帶來的偶然連結，加上人心無盡的想像，創造出真實又魔幻的迷人故事。電影三段篇章伴隨著舒曼〈兒時情景〉作品15號第1曲、第7曲，〈森林景象〉作品82第1曲，描繪出日常細瑣裡的細膩光輝，大量看似日常卻巧妙的對話，讓觀影者得以完全沉浸在劇中，是一部奇妙又讓人心情飛揚的體驗式電影。本片獲得了2021年柏林影展最佳評審團大獎銀熊獎，並空降台北電影節觀眾票選獎外語片冠軍。濱口竜介在獲頒柏林銀熊獎、唸完感謝名單後表示：「很抱歉唸了一長串名字，但實際上這些成員幾乎是團隊中的每個人。我和一個很小的團隊，一起拍了一部電影。這些人就是這部電影。我想表達衷心的感謝。」完全展現獨立電影最難能可貴的精神。"
鬼域囚徒,"動作
科幻
恐怖","★ 2021 日舞影展正式入選
★ 2021 蒙特婁奇幻影展正式入選
★ 日本異色鬼才導演園子溫聯手尼可拉斯凱吉挑戰全新暴力美學
★ 《曼蒂》《星之彩》製片團隊打造又一邪典盛宴！
★ 「這是我拍過最狂的電影」— 尼可拉斯凱吉
 
位於邊陲地帶的險惡城市武士鎮，一名無情劫匪「英雄」（尼可拉斯凱吉 飾）被富有的軍閥「總督」（比爾莫斯利 飾）從監獄中綁架。「總督」交付「英雄」一項任務，若能在五天之內找回失蹤的養孫女柏妮絲（蘇菲亞波提拉 飾），「英雄」便能重獲自由；若任務失敗，「英雄」皮衣上安裝的炸彈將會自動引爆⋯⋯。"
